59
-35.000	19.300	0.000	bc
-32.671	19.300	0.000	pouch
-30.342	19.300	0.000	pouch
-28.013	19.300	0.000	pouch
-25.684	19.300	0.000	pouch
-23.355	19.300	0.000	pouch
-21.026	19.300	0.000	pouch
-18.697	19.300	0.000	pouch
-16.368	19.300	0.000	pouch
-14.039	19.300	0.000	pouch
-11.710	19.300	0.000	pouch
-9.381	19.300	0.000	pouch
-7.052	19.300	0.000	pouch
-4.723	19.300	0.000	pouch
-2.394	19.300	0.000	pouch
-0.065	19.300	0.000	pouch
2.264	19.300	0.000	pouch
4.593	19.300	0.000	pouch
6.922	19.300	0.000	pouch
9.251	19.300	0.000	pouch
11.580	19.300	0.000	pouch
13.909	19.300	0.000	pouch
16.238	19.300	0.000	pouch
18.567	19.300	0.000	pouch
20.896	19.300	0.000	pouch
23.225	19.300	0.000	pouch
25.554	19.300	0.000	pouch
27.883	19.300	0.000	pouch
30.212	19.300	0.000	pouch
32.541	19.300	0.000	pouch
34.870	19.300	0.000	pouch
37.199	19.300	0.000	pouch
39.528	19.300	0.000	pouch
41.857	19.300	0.000	pouch
44.186	19.300	0.000	pouch
46.515	19.300	0.000	pouch
48.844	19.300	0.000	pouch
51.173	19.300	0.000	pouch
53.502	19.300	0.000	pouch
55.831	19.300	0.000	pouch
58.160	19.300	0.000	pouch
60.489	19.300	0.000	pouch
62.818	19.300	0.000	pouch
65.147	19.300	0.000	pouch
67.476	19.300	0.000	pouch
69.805	19.300	0.000	pouch
72.134	19.300	0.000	pouch
74.463	19.300	0.000	pouch
76.792	19.300	0.000	pouch
79.121	19.300	0.000	pouch
81.450	19.300	0.000	pouch
83.779	19.300	0.000	pouch
86.108	19.300	0.000	pouch
88.437	19.300	0.000	pouch
90.766	19.300	0.000	pouch
93.095	19.300	0.000	pouch
95.424	19.300	0.000	pouch
97.753	19.300	0.000	pouch
100.082	19.300	0.000	bc
